group_key,market_ids,sum_yes_probs,num_markets
16282,517310;517311;517313;517314;517315;517316;517317;517318;517319,1.0075,9
16284,517321,0.031,1
17823,521944;521945;521946;521947;521948;521949,1.011,6
17824,521963,0.0035,1
17825,521964,0.0135,1
20461,527079,0.0065,1
21206,528788,0.013,1
21220,528820,0.0575,1
21662,531202,0.4155,1
22214,533851,0.0015,1
22862,537484;537485;537486;537487;537488;537489,1.0005,6
22863,537490,0.0135,1
23784,540816;540817;540818;540819;540820;540843;540844,3.69,7
23792,540881,0.028,1
24383,544092;544093;544094;544095;544096;544097,1.2035,6
25009,546612,0.0505,1
26004,549868;549869;549870;549871;549872;549873;549874;549875;549876;549877,1.0045,10
26313,550694;550703;550706;550708,1.585,4
27829,553824;553825;553826;553827;553828;553829;553830;553831;553832;553833;553834;553835;553836;553837;553838;553839;553840;553841;553842;553843;553844;553845;553846;553847;553848;553849;553850;553851;553852;553853;553854;553855,1.001,32
27830,553856;553857;553858;553859;553860;553861;553862;553863;553864,0.6325,9
